,text,text_mark_rm,text_checked,text_len
10582,삼시세끼 문제가 아니라 프로그램 자체가 그냥 맛이갔어 제작진 머저리들은 시청자의 피드백 안받을때부터 이미 망하는중,삼시세끼 문제가 아니라 프로그램 자체가 그냥 맛이갔어 제작진 머저리들은 시청자의 피드백 안받을때부터 이미 망하는중,삼시 세끼 문제가 아니라 프로그램 자체가 그냥 맛이 갔어 제작진 머저리들은 시청자의 피드백 안 받을 때부터 이미 망하는 중,63
10583,갠적으로 정일우있을때가 젤 재미났다.이 여잔 누구지?,갠적으로 정일우있을때가 젤 재미났다이 여잔 누구지,개인적으로 정일우 있을 때가 젤 재미났다 이 여잔 누구지,27
10584,난 이정현이 젤 잼없다예능 / 편의점과 동떨어진 느낌이유리 이경규 나와야 취지가 잘 맞는거같고이영자는 음식프로에 잘 맞고이정현 트롯하는여자빼고편의점 취지에 맞는 게스트 섭외좀 해라,난 이정현이 젤 잼없다예능  편의점과 동떨어진 느낌이유리 이경규 나와야 취지가 잘 맞는거같고이영자는 음식프로에 잘 맞고이정현 트롯하는여자빼고편의점 취지에 맞는 게스트 섭외좀 해라,난 이정현이 젤 재미없다 예능  편의점과 동떨어진 느낌이 유리 이경규 나와야 취지가 잘 맞는 거 같고 이영자는 음식 프로에 잘 맞고 이정현 트롯 하는 여자 빼고 편의점 취지에 맞는 게스트 섭외 좀 해라,99
10585,이경규 부럽네,이경규 부럽네,이경규 부럽네,7
10586,아 맛있겠다.,아 맛있겠다,아 맛있겠다,6
10587,여자 게스트 넘 안 어울린다 프로랑,여자 게스트 넘 안 어울린다 프로랑,여자 게스트 너무 안 어울린다 프로랑,19
10588,어제 오윤아편은 재밌었네요,어제 오윤아편은 재밌었네요,어제 오윤아 편은 재밌었네요,14
10589,조정민씨 예쁘고 낙지 볶음밥 아이디어 좋았는데..설운도 나오고 노래 막 부르는 순간 헉...!,조정민씨 예쁘고 낙지 볶음밥 아이디어 좋았는데설운도 나오고 노래 막 부르는 순간 헉!,조정민 씨 예쁘고 낙지 볶음밥 아이디어 좋았는데 설운도 나오고 노래 막 부르는 순간 헉!,47
10590,"예전부터 이유리 배우님은 드라마로 인해 나오지 않는다고 하셨고, 편스토랑 취지가 우리 농산물로 만든 요리로 벌은 수익금을 기부하는 거예요 ㅠㅠ 첫 번째 수익금을 코로나 19 관련해서 기부했으며, 유명 연예인들 일상생활로 하여 주제가 되지 못한 다른 재료들도 주목받는 게 좋기만 한데 요리만 보면서 톡방을 변질시키는 건 아닌 것 같아요","예전부터 이유리 배우님은 드라마로 인해 나오지 않는다고 하셨고, 편스토랑 취지가 우리 농산물로 만든 요리로 벌은 수익금을 기부하는 거예요 ㅠㅠ 첫 번째 수익금을 코로나 19 관련해서 기부했으며, 유명 연예인들 일상생활로 하여 주제가 되지 못한 다른 재료들도 주목받는 게 좋기만 한데 요리만 보면서 톡방을 변질시키는 건 아닌 것 같아요","예전부터 이유리 배우님은 드라마로 인해 나오지 않는다고 하셨고, 편이 스토랑 취지가 우리 농산물로 만든 요리로 벌은 수익금을 기부하는 거예요 ㅠㅠ 첫 번째 수익금을 코로나 19 관련해서 기부했으며, 유명 연예인들 일상생활로 하여 주제가 되지 못한 다른 재료들도 주목받는 게 좋기만 한데 요리만 보면서 톡 방을 변질시키는 건 아닌 것 같아요",186
10591,트로트 지겹다,트로트 지겹다,트로트 지겹다,7
10592,이유리  때문에 가끔보는데  ㅎ,이유리  때문에 가끔보는데  ㅎ,이유리  때문에 가끔 보는데  ㅎ,17
10593,음식을 보여주세요! 트로트 말고 가정사 말고,음식을 보여주세요! 트로트 말고 가정사 말고,음식을 보여주세요! 트로트 말고 가정사 말고,24
10594,어제 못봐서 재방 신청해서 볼려고 했는데 이유리씨가 안나온다니..   패스해야겠어요  이유리씨 볼수록 매력있어요    ^^,어제 못봐서 재방 신청해서 볼려고 했는데 이유리씨가 안나온다니   패스해야겠어요  이유리씨 볼수록 매력있어요    ,어제 못 봐서 재방 신청해서 보려고 했는데 이유리 씨가 안 나온다니   패스해야겠어요  이유리 씨 볼수록 매력 있어요    ,64
10595,"어제 뜬금없이 조정민나온것도 이상한데, 갑자기 풀메이크업하고 피아노치고있을때 체널돌아감...그리고 뜬금없는 미스터트롯맴버와 설운도....트로트예능이야????","어제 뜬금없이 조정민나온것도 이상한데, 갑자기 풀메이크업하고 피아노치고있을때 체널돌아감그리고 뜬금없는 미스터트롯맴버와 설운도트로트예능이야","어제 뜬금없이 조정민 나온 것도 이상한데, 갑자기 풀 메이크업하고 피아노 치고 있을 때 채널 돌아감 그리고 뜬금없는 미스터 트롯 멤버와 설운도 트로트 예능이야",76
10596,이유리 때문에 봤는데 왜 않나옴? 이유리가 음식두 잘하고 말두잘하고 이프로랑 잘맞았던거 같은데ᆢ않나온다는 인사(말)도 않고 않나오네 서운합니다,이유리 때문에 봤는데 왜 않나옴 이유리가 음식두 잘하고 말두잘하고 이프로랑 잘맞았던거 같은데ᆢ않나온다는 인사(말)도 않고 않나오네 서운합니다,이유리 때문에 봤는데 왜 안 나옴 이유리가 음식도 잘하고 말도 잘하고 이프로랑 잘 맞았던 거 같은데ᆢ안 나온다는 인사(말)도 않고 안 나오네 서운합니다,78
10597,초반에도 시청률은 별로였는데 제자리 찾아가는 거지 뭐,초반에도 시청률은 별로였는데 제자리 찾아가는 거지 뭐,초반에도 시청률은 별로였는데 제자리 찾아가는 거지 뭐,29
10598,ㅉㅉ 이정현때문에 그나마 시청률유지하는듯,ㅉㅉ 이정현때문에 그나마 시청률유지하는듯,ㅉㅉ 이정현 때문에 그나마 시청률 유지하는 듯,22
10599,삼시세끼 고기도 몬잡았는데 밀리네 ㅋㅋ그럴수밖에 ㅋ,삼시세끼 고기도 몬잡았는데 밀리네 ㅋㅋ그럴수밖에 ㅋ,삼시 세끼 고기도 못 잡았는데 밀리네 ㅋㅋ그럴수밖에 ㅋ,28
10600,기존 대로 가는 게 제일 나은 것 같은데연쇄 계산마 이런 무식한 작가들과 협업도적당히 하시고,기존 대로 가는 게 제일 나은 것 같은데연쇄 계산마 이런 무식한 작가들과 협업도적당히 하시고,기존 대로 가는 게 제일 나은 것 같은데 연쇄 계산만 이런 무식한 작가들과 협업도 적당히 하시고,51
10601,삼시세끼 때문도 있고 이번에 여자 게스트너무 프로랑 안 어울려요 제발 이런 프로까지 꼭 트로트 갖다 붙여야 하나요,삼시세끼 때문도 있고 이번에 여자 게스트너무 프로랑 안 어울려요 제발 이런 프로까지 꼭 트로트 갖다 붙여야 하나요,삼시 세끼 때문도 있고 이번에 여자 게스트 너무 프로랑 안 어울려요 제발 이런 프로까지 꼭 트로트 갖다 붙여야 하나요,63
10602,수찬님  계속나와주세요ㅡ,수찬님  계속나와주세요ㅡ,수찬 님  계속 나와주세요ㅡ,13
10603,배우들 진짜 대단하네 저렇게 먹고도 몸매 관리가 되네 ㄷㄷ,배우들 진짜 대단하네 저렇게 먹고도 몸매 관리가 되네 ㄷㄷ,배우들 진짜 대단하네 저렇게 먹고도 몸매 관리가 되네 ㄷㄷ,32
10604,설운도가 왜나오냐구 왜,설운도가 왜나오냐구 왜,설운도가 왜 나오냐고 왜,12
10605,오윤아 아들 정말 싫다 싫어 그만 나오셈,오윤아 아들 정말 싫다 싫어 그만 나오셈,오윤아 아들 정말 싫다 싫어 그만 나오세요,22
10606,나태주 김수찬 추천,나태주 김수찬 추천,나태주 김수찬 추천,10
10607,요즘 최애프로인데 점점 산으로 가는 느낌이 드네요,요즘 최애프로인데 점점 산으로 가는 느낌이 드네요,요즘 최애 프로인데 점점 산으로 가는 느낌이 드네요,27
10608,초심을 잃었구나 오윤아 아들이야기 나오면서 산으로 가더니... 이유리는 왜 안나오냐? 경규형 혈압 오르는 소리가 여기까지 들린다.. ㅉㅉ 그리고 만능간장인지 뭔지 오바 좀 그만해라 특히 이정현씨 입에 들어가는 순간 너무 맛있다고 표현하는건 오바아니냐?,초심을 잃었구나 오윤아 아들이야기 나오면서 산으로 가더니 이유리는 왜 안나오냐 경규형 혈압 오르는 소리가 여기까지 들린다 ㅉㅉ 그리고 만능간장인지 뭔지 오바 좀 그만해라 특히 이정현씨 입에 들어가는 순간 너무 맛있다고 표현하는건 오바아니냐,초심을 잃었구나 오윤아 아들 이야기 나오면서 산으로 가더니 이유리는 왜 안 나오냐 경기형 혈압 오르는 소리가 여기까지 들린다 ㅉㅉ 그리고 만능 간장인지 뭔지 오버 좀 그만해라 특히 이정현 씨 입에 들어가는 순간 너무 맛있다고 표현하는 건 오버 아니냐,133
10609,이유리님 안나오니 재미없네ㅠㅠ,이유리님 안나오니 재미없네ㅠㅠ,이유리 님 안 나오니 재미없네ㅠㅠ,16
10610,이유리 때문에 봤는데.. 돌아와서 한입먹방 해주길.,이유리 때문에 봤는데 돌아와서 한입먹방 해주길,이유리 때문에 봤는데 돌아와서 한입먹방 해주길,25
10611,제발 정신 차리세요 피디님 미스트롯 아닙니다  오윤아부터  다큐로가더니 어제는 ㄹㅇ 뭔가 했음,제발 정신 차리세요 피디님 미스트롯 아닙니다  오윤아부터  다큐로가더니 어제는 ㄹㅇ 뭔가 했음,제발 정신 차리세요 피디님 미스 트롯 아닙니다  오윤아부터  다큐로 가더니 어제는 링 뭔가 했음,52
10612,이유리나가면  뚝떨어질것 예상~왼전 다른프로그램 분위기,이유리나가면  뚝떨어질것 예상왼전 다른프로그램 분위기,이유리 나가면  뚝 떨어질 것 예상왼전 다른 프로그램 분위기,29
10613,삼시세끼 보느라 요즘 편스토랑 잘 안보고 가끔 재방보는데 시청율이 쭉 떨어지고있네. 조정민인가는 너무 별로던데 나와서 또 가족사 이야기하고 노래홍보했네. 너무 별로.,삼시세끼 보느라 요즘 편스토랑 잘 안보고 가끔 재방보는데 시청율이 쭉 떨어지고있네 조정민인가는 너무 별로던데 나와서 또 가족사 이야기하고 노래홍보했네 너무 별로,삼시 세끼 보느라 요즘 편이 스토랑 잘 안 보고 가끔 재방 보는데 시청률이 쭉 떨어지고 있네 조정민인가는 너무 별로던데 나와서 또 가족사 이야기하고 노래 홍보했네 너무 별로,89
